hidden_layers,dropout,optimizer,output_activation,intermediate_activation,loss_type,loss,accuracy,recall,precision,f1_score
"[64, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.21338098049163817,0.9401780009269715,0.8461950898170472,0.8059739947319031,0.825594912725066
"[64, 32, 8, 4]",0.05,rmsprop,sigmoid,tanh,binary_crossentropy,0.20644593238830566,0.9303316712379456,0.8031920194625854,0.7880846500396729,0.795566571075908
"[64, 32, 8, 4]",0.05,sgd,sigmoid,tanh,binary_crossentropy,0.5232481718063354,0.7273457765579223,0.601966279745102,0.33324943780899047,0.42900241963330954
"[64, 32, 8, 4]",0.05,adagrad,sigmoid,tanh,binary_crossentropy,0.44845699071884154,0.7860485672950744,0.6749744653701782,0.41382502019405365,0.5130812418844487
"[64, 32, 8, 4]",0.05,adadelta,sigmoid,tanh,binary_crossentropy,0.533159613609314,0.7444141268730163,0.7871552467346191,0.3751848995685577,0.5081623270471525
"[64, 32, 8, 4]",0.05,nadam,sigmoid,tanh,binary_crossentropy,0.21261291801929474,0.944717013835907,0.8598059177398681,0.8209208369255065,0.8399135072129778
