hidden_layers,dropout,optimizer,output_activation,intermediate_activation,loss_type,loss,accuracy,recall,precision,f1_score
"[128, 80, 64, 32, 16, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.22710012197494506,0.9329810261726379,0.8101123571395874,0.7981580257415771,0.8040907129564794
"[128, 80, 64, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.1983349472284317,0.9450929403305054,0.8484167456626892,0.8297788381576539,0.83899424635256
"[80, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.20796400904655457,0.9398020744323731,0.8303370714187622,0.8177684307098388,0.8240047761227628
"[80, 64, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2019683063030243,0.942823076248169,0.8506639242172241,0.8159628748893738,0.8329520920861689
"[100, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.19290872514247895,0.9439615845680237,0.8507916092872619,0.8220256447792054,0.8361612455741065
"[100, 64, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.1942343980073929,0.9481261014938355,0.8439478874206543,0.8469476222991943,0.8454450440187464
"[128, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.20571185350418092,0.9443389415740967,0.8439223766326904,0.8323406219482422,0.8380914385541821
"[128, 64, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2007499873638153,0.9394232869148255,0.8462206363677979,0.8040885329246521,0.8246167220757076
"[64, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.18801570534706116,0.9504002571105957,0.8575076460838318,0.8493796229362488,0.8534242321024132
